SED_IB,Length_ft,BoardFeet
33,19,930.0
34,19,950.0
35,19,1040.0
36,19,1100.0
37,19,1220.0
38,19,1270.0
39,19,1330.0
40,19,1430.0
41,19,1510.0
42,19,1570.0
43,19,1660.0
44,19,1760.0
45,19,1800.0
46,19,1880.0
47,19,1970.0
48,19,2050.0
49,19,2130.0
50,19,2220.0
51,19,2310.0
52,19,2400.0
53,19,2500.0
54,19,2590.0
55,19,2690.0
56,19,2790.0
57,19,2890.0
58,19,3000.0
59,19,3100.0
60,19,3210.0
61,19,3290.0
62,19,3390.0
63,19,3490.0
64,19,3590.0
65,19,3690.0
66,19,3790.0
67,19,3890.0
68,19,3990.0
69,19,4090.0
70,19,4190.0
4,20,10.0
5,20,20.0
6,20,20.0
7,20,30.0
8,20,40.0
9,20,50.0
10,20,70.0
11,20,80.0
12,20,100.0
13,20,120.0
14,20,140.0
15,20,180.0
16,20,200.0
17,20,230.0
18,20,270.0
19,20,300.0
20,20,350.0
21,20,380.0
22,20,420.0
23,20,470.0
24,20,500.0
25,20,570.0
26,20,620.0
27,20,680.0
28,20,730.0
29,20,760.0
30,20,820.0
31,20,890.0
32,20,920.0
33,20,980.0
34,20,1000.0
35,20,1090.0
36,20,1150.0
37,20,1290.0
38,20,1330.0
39,20,1400.0
40,20,1500.0
41,20,1590.0
42,20,1680.0
43,20,1740.0
44,20,1850.0
45,20,1900.0
46,20,1980.0
47,20,2070.0
48,20,2160.0
49,20,2250.0
50,20,2340.0
51,20,2430.0
52,20,2530.0
53,20,2630.0
54,20,2730.0
55,20,2830.0
56,20,2940.0
57,20,3040.0
58,20,3150.0
59,20,3270.0
60,20,3380.0
61,20,3470.0
62,20,3570.0
63,20,3680.0
64,20,3780.0
65,20,3880.0
66,20,3990.0
67,20,4090.0
68,20,4200.0
69,20,4300.0
70,20,4400.0
4,21,10.0
5,21,20.0
6,21,30.0
7,21,30.0
8,21,40.0
9,21,50.0
10,21,70.0
11,21,90.0
12,21,100.0
13,21,130.0
14,21,150.0
15,21,190.0
16,21,210.0
17,21,240.0
18,21,280.0
19,21,310.0
20,21,370.0
21,21,400.0
22,21,440.0
23,21,490.0
24,21,530.0
25,21,600.0
26,21,660.0
27,21,720.0
28,21,760.0
29,21,800.0
30,21,860.0
31,21,930.0
32,21,970.0
33,21,1030.0
34,21,1050.0
35,21,1150.0
36,21,1210.0
37,21,1350.0
38,21,1400.0
39,21,1470.0
40,21,1580.0
41,21,1670.0
42,21,1760.0
43,21,1830.0
44,21,1940.0
45,21,1990.0
46,21,2080.0
47,21,2170.0
48,21,2270.0
49,21,2360.0
50,21,2460.0
51,21,2550.0
52,21,2660.0
53,21,2760.0
54,21,2870.0
55,21,2970.0
56,21,3090.0
57,21,3200.0
58,21,3310.0
59,21,3430.0
60,21,3550.0
61,21,3640.0
62,21,3750.0
63,21,3860.0
64,21,3970.0
65,21,4080.0
66,21,4190.0
67,21,4300.0
68,21,4410.0
69,21,4520.0
70,21,4630.0
4,22,10.0
5,22,20.0
6,22,30.0
7,22,40.0
8,22,40.0
9,22,50.0
10,22,80.0
11,22,90.0
12,22,110.0
13,22,130.0
14,22,160.0
15,22,200.0
16,22,220.0
17,22,250.0
18,22,290.0
19,22,330.0
20,22,380.0
21,22,420.0
22,22,460.0
23,22,520.0
24,22,550.0
25,22,630.0
26,22,690.0
27,22,750.0
28,22,800.0
29,22,840.0
30,22,900.0
31,22,980.0
32,22,1010.0
33,22,1080.0
34,22,1100.0
35,22,1200.0
36,22,1270.0
37,22,1420.0
38,22,1470.0
39,22,1540.0
40,22,1660.0
41,22,1750.0
42,22,1850.0
43,22,1920.0
44,22,2040.0
45,22,2090.0
46,22,2180.0
47,22,2280.0
48,22,2380.0
49,22,2470.0
50,22,2570.0
51,22,2680.0
52,22,2780.0
53,22,2890.0
54,22,3000.0
55,22,3120.0
56,22,3230.0
57,22,3350.0
58,22,3470.0
59,22,3590.0
60,22,3720.0
61,22,3820.0
62,22,3930.0
63,22,4040.0
64,22,4160.0
65,22,4270.0
66,22,4390.0
67,22,4500.0
68,22,4620.0
69,22,4730.0
70,22,4850.0
4,23,10.0
5,23,20.0
6,23,30.0
7,23,40.0
8,23,40.0
9,23,60.0
10,23,80.0
11,23,100.0
12,23,110.0
13,23,140.0
14,23,160.0
15,23,200.0
16,23,230.0
17,23,270.0
18,23,310.0
19,23,340.0
20,23,400.0
21,23,440.0
22,23,480.0
23,23,540.0
24,23,580.0
25,23,660.0
26,23,720.0
27,23,790.0
28,23,840.0
29,23,870.0
30,23,910.0
31,23,1020.0
32,23,1060.0
33,23,1130.0
34,23,1150.0
35,23,1260.0
36,23,1330.0
37,23,1480.0
38,23,1530.0
39,23,1610.0
40,23,1730.0
41,23,1830.0
42,23,1930.0
43,23,2010.0
44,23,2130.0
45,23,2180.0
46,23,2280.0
47,23,2380.0
48,23,2480.0
49,23,2580.0
50,23,2690.0
51,23,2800.0
52,23,2910.0
53,23,3020.0
54,23,3140.0
55,23,3260.0
56,23,3380.0
57,23,3500.0
58,23,3630.0
59,23,3760.0
60,23,3890.0
61,23,3990.0
62,23,4110.0
63,23,4230.0
64,23,4350.0
65,23,4470.0
66,23,4590.0
67,23,4710.0
68,23,4830.0
69,23,4950.0
70,23,5070.0
4,24,20.0
5,24,30.0
6,24,30.0
7,24,40.0
8,24,40.0
9,24,60.0
10,24,90.0
11,24,100.0
12,24,120.0
13,24,150.0
14,24,170.0
15,24,210.0
16,24,240.0
17,24,280.0
18,24,320.0
19,24,360.0
20,24,420.0
21,24,460.0
22,24,500.0
23,24,560.0
24,24,610.0
25,24,690.0
26,24,750.0
27,24,820.0
28,24,870.0
29,24,910.0
30,24,990.0
31,24,1070.0
32,24,1100.0
33,24,1180.0
34,24,1200.0
35,24,1310.0
36,24,1380.0
37,24,1540.0
38,24,1600.0
39,24,1680.0
40,24,1810.0
41,24,1910.0
42,24,2010.0
43,24,2090.0
44,24,2220.0
45,24,2280.0
46,24,2380.0
47,24,2480.0
48,24,2590.0
49,24,2700.0
50,24,2810.0
51,24,2920.0
52,24,3040.0
53,24,3160.0
54,24,3280.0
55,24,3400.0
56,24,3530.0
57,24,3650.0
58,24,3790.0
59,24,3920.0
60,24,4060.0
61,24,4160.0
62,24,4290.0
63,24,4410.0
64,24,4540.0
65,24,4660.0
66,24,4790.0
67,24,4910.0
68,24,5040.0
69,24,5160.0
70,24,5290.0
4,25,20.0
5,25,30.0
6,25,30.0
7,25,40.0
8,25,50.0
9,25,60.0
10,25,90.0
11,25,100.0
12,25,120.0
13,25,150.0
14,25,180.0
15,25,220.0
16,25,250.0
17,25,290.0
18,25,330.0
19,25,370.0
20,25,440.0
21,25,470.0
22,25,520.0
23,25,590.0
24,25,630.0
25,25,720.0
26,25,780.0
27,25,860.0
28,25,910.0
29,25,950.0
30,25,1030.0
31,25,1110.0
32,25,1150.0
33,25,1220.0
34,25,1250.0
35,25,1370.0
36,25,1440.0
37,25,1610.0
38,25,1670.0
39,25,1750.0
40,25,1880.0
41,25,1990.0
42,25,2100.0
43,25,2180.0
44,25,2310.0
45,25,2370.0
46,25,2480.0
47,25,2590.0
48,25,2700.0
49,25,2810.0
50,25,2920.0
51,25,3040.0
52,25,3160.0
53,25,3290.0
54,25,3410.0
55,25,3540.0
56,25,3670.0
57,25,3810.0
58,25,3940.0
59,25,4080.0
60,25,4220.0
