SED_IB,Length_ft,BoardFeet
48,38,4100.0
49,38,4270.0
50,38,4450.0
51,38,4620.0
52,38,4810.0
53,38,5000.0
54,38,5190.0
55,38,5380.0
56,38,5580.0
57,38,5780.0
58,38,5990.0
59,38,6200.0
60,38,6420.0
61,38,6580.0
62,38,6780.0
63,38,6980.0
64,38,7170.0
65,38,7370.0
66,38,7570.0
67,38,7760.0
68,38,7960.0
69,38,8160.0
70,38,8360.0
4,39,30.0
5,39,40.0
6,39,60.0
7,39,70.0
8,39,90.0
9,39,110.0
10,39,150.0
11,39,180.0
12,39,190.0
13,39,240.0
14,39,280.0
15,39,350.0
16,39,390.0
17,39,450.0
18,39,520.0
19,39,580.0
20,39,680.0
21,39,740.0
22,39,810.0
23,39,920.0
24,39,980.0
25,39,1120.0
26,39,1220.0
27,39,1330.0
28,39,1420.0
29,39,1480.0
30,39,1600.0
31,39,1730.0
32,39,1790.0
33,39,1910.0
34,39,1950.0
35,39,2130.0
36,39,2250.0
37,39,2510.0
38,39,2600.0
39,39,2730.0
40,39,2930.0
41,39,3100.0
42,39,3270.0
43,39,3400.0
44,39,3610.0
45,39,3700.0
46,39,3860.0
47,39,4040.0
48,39,4210.0
49,39,4380.0
50,39,4560.0
51,39,4740.0
52,39,4930.0
53,39,5130.0
54,39,5320.0
55,39,5520.0
56,39,5730.0
57,39,5940.0
58,39,6150.0
59,39,6370.0
60,39,6590.0
61,39,6760.0
62,39,6970.0
63,39,7170.0
64,39,7370.0
65,39,7580.0
66,39,7780.0
67,39,7980.0
68,39,8190.0
69,39,8390.0
70,39,8590.0
4,40,30.0
5,40,40.0
6,40,60.0
7,40,70.0
8,40,90.0
9,40,120.0
10,40,150.0
11,40,180.0
12,40,200.0
13,40,240.0
14,40,290.0
15,40,360.0
16,40,400.0
17,40,460.0
18,40,530.0
19,40,600.0
20,40,700.0
21,40,760.0
22,40,840.0
23,40,940.0
24,40,1010.0
25,40,1150.0
26,40,1250.0
27,40,1370.0
28,40,1460.0
29,40,1520.0
30,40,1640.0
31,40,1780.0
32,40,1840.0
33,40,1960.0
34,40,2000.0
35,40,2190.0
36,40,2310.0
37,40,2570.0
38,40,2670.0
39,40,2800.0
40,40,3010.0
41,40,3180.0
42,40,3360.0
43,40,3490.0
44,40,3700.0
45,40,3800.0
46,40,3960.0
47,40,4140.0
48,40,4320.0
49,40,4490.0
50,40,4680.0
51,40,4870.0
52,40,5060.0
53,40,5260.0
54,40,5460.0
55,40,5660.0
56,40,5880.0
57,40,6090.0
58,40,6310.0
59,40,6530.0
60,40,6760.0
61,40,6930.0
62,40,7140.0
63,40,7350.0
64,40,7560.0
65,40,7770.0
66,40,7970.0
67,40,8180.0
68,40,8390.0
69,40,8600.0
70,40,8810.0
